iter	Passed	Remaining
0	134	133878
1	136	68047
2	138	45953
3	140	34934
4	142	28404
5	144	23981
6	146	20739
7	147	18252
8	148	16310
9	149	14792
10	150	13528
11	151	12470
12	152	11575
13	153	10834
14	154	10175
15	156	9620
16	158	9165
17	159	8713
18	160	8311
19	162	7974
20	163	7638
21	165	7335
22	165	7051
23	168	6835
24	169	6599
25	170	6374
26	170	6160
27	172	5979
28	173	5797
29	173	5617
30	174	5453
31	175	5299
32	175	5152
33	177	5036
34	178	4923
35	179	4812
36	180	4703
37	181	4595
38	182	4505
39	184	4420
40	185	4327
41	185	4242
42	186	4161
43	187	4083
44	188	4010
45	190	3954
46	191	3891
47	192	3822
48	195	3793
49	196	3731
50	197	3671
51	198	3612
52	199	3560
53	200	3506
54	201	3454
55	201	3400
56	202	3349
57	203	3301
58	205	3270
59	206	3238
60	207	3200
61	208	3161
62	209	3122
63	211	3088
64	212	3051
65	212	3013
66	213	2979
67	214	2946
68	215	2913
69	216	2882
70	218	2861
71	220	2836
72	221	2807
73	222	2779
74	223	2755
75	224	2733
76	225	2707
77	226	2683
78	228	2659
79	229	2637
80	230	2612
81	231	2588
82	231	2559
83	233	2549
84	235	2537
85	237	2519
86	238	2499
87	239	2478
88	240	2458
89	241	2438
90	242	2419
91	243	2401
92	244	2383
93	245	2364
94	246	2346
95	247	2331
96	249	2320
97	250	2308
98	252	2295
99	254	2287
100	255	2271
101	256	2258
102	257	2244
103	258	2227
104	259	2212
105	260	2196
106	261	2181
107	262	2170
108	265	2169
109	266	2158
110	267	2144
111	268	2130
112	269	2118
113	270	2104
114	271	2091
115	272	2080
116	273	2066
117	274	2054
118	276	2043
119	277	2038
120	279	2031
121	281	2025
122	282	2017
123	284	2010
124	285	2001
125	286	1990
126	287	1978
127	288	1967
128	289	1956
129	291	1951
130	293	1945
131	294	1937
132	295	1928
133	297	1920
134	298	1912
135	299	1903
136	300	1895
137	303	1893
138	304	1887
139	307	1886
140	308	1882
141	309	1872
142	312	1870
143	313	1864
144	315	1858
145	316	1849
146	317	1840
147	318	1831
148	319	1824
149	320	1815
150	324	1826
151	326	1820
152	329	1822
153	330	1815
154	332	1810
155	333	1805
156	335	1802
157	337	1797
158	338	1790
159	340	1788
160	341	1780
161	342	1773
162	344	1767
163	346	1765
164	347	1760
165	348	1753
166	351	1753
167	353	1750
168	355	1745
169	356	1740
170	358	1738
171	359	1732
172	361	1728
173	363	1724
174	366	1725
175	368	1723
176	369	1720
177	372	1718
178	373	1712
179	374	1705
180	376	1701
181	377	1696
182	380	1700
183	383	1698
184	384	1693
185	385	1687
186	387	1684
187	389	1680
188	395	1696
189	397	1696
190	399	1690
191	400	1686
192	403	1686
193	404	1682
194	406	1677
195	407	1672
196	410	1672
197	411	1668
198	413	1663
199	415	1661
200	416	1657
201	419	1656
202	420	1651
203	421	1646
204	424	1645
205	426	1645
206	428	1641
207	429	1637
208	431	1633
209	433	1632
210	435	1627
211	437	1625
212	440	1629
213	442	1625
214	444	1621
215	445	1617
216	446	1612
217	447	1606
218	449	1604
219	451	1599
220	453	1599
221	455	1596
222	472	1645
223	473	1640
224	474	1635
225	476	1631
226	477	1626
227	478	1621
228	480	1616
229	481	1612
230	484	1614
231	486	1612
232	488	1607
233	489	1603
234	491	1601
235	493	1597
236	494	1592
237	496	1589
238	500	1594
239	502	1590
240	503	1584
241	504	1579
242	505	1575
243	507	1571
244	508	1567
245	509	1562
246	511	1559
247	514	1559
248	515	1555
249	516	1550
250	518	1545
251	519	1540
252	521	1539
253	523	1536
254	524	1531
255	525	1526
256	528	1527
257	529	1523
258	531	1520
259	532	1516
260	533	1511
261	535	1507
262	536	1502
263	537	1499
264	538	1494
265	540	1490
266	541	1487
267	543	1484
268	544	1480
269	546	1476
270	548	1476
271	549	1471
272	551	1467
273	552	1463
274	553	1459
275	556	1458
276	558	1456
277	559	1452
278	560	1448
279	561	1443
280	562	1439
281	563	1434
282	564	1430
283	565	1426
284	566	1422
285	568	1418
286	569	1415
287	571	1413
288	573	1409
289	574	1405
290	576	1403
291	577	1399
292	578	1395
293	579	1391
294	580	1387
295	581	1382
296	582	1378
297	583	1373
298	585	1373
299	587	1370
300	588	1366
301	589	1362
302	590	1359
303	591	1355
304	593	1351
305	594	1347
306	595	1343
307	596	1339
308	597	1335
309	598	1332
310	600	1330
311	601	1327
312	602	1323
313	604	1320
314	606	1318
315	607	1315
316	608	1311
317	609	1307
318	610	1303
319	611	1299
320	612	1295
321	614	1294
322	616	1291
323	617	1288
324	618	1284
325	619	1281
326	621	1278
327	622	1274
328	623	1271
329	624	1267
330	625	1263
331	626	1259
332	627	1257
333	629	1254
334	630	1251
335	631	1248
336	632	1244
337	634	1243
338	636	1240
339	637	1236
340	638	1233
341	639	1229
342	639	1225
343	640	1221
344	642	1220
345	644	1217
346	645	1214
347	646	1211
348	647	1208
349	649	1205
350	650	1202
351	651	1199
352	652	1196
353	654	1193
354	655	1190
355	656	1188
356	658	1186
357	659	1183
358	661	1181
359	663	1180
360	665	1177
361	666	1174
362	667	1171
363	668	1168
364	669	1164
365	672	1164
366	674	1162
367	675	1159
368	676	1156
369	677	1153
370	678	1150
371	679	1147
372	680	1144
373	682	1141
374	683	1139
375	684	1135
376	686	1133
377	687	1131
378	689	1130
379	691	1127
380	692	1124
381	693	1121
382	694	1119
383	695	1115
384	696	1112
385	697	1109
386	698	1106
387	699	1103
388	700	1100
389	701	1097
390	702	1094
391	703	1091
392	704	1088
393	705	1084
394	706	1081
395	707	1078
396	708	1075
397	709	1072
398	710	1069
399	711	1066
400	712	1064
401	714	1062
402	715	1059
403	716	1057
404	718	1054
405	719	1052
406	720	1049
407	721	1046
408	722	1043
409	723	1041
410	724	1038
411	725	1036
412	726	1033
413	728	1030
414	730	1029
415	731	1027
416	732	1024
417	734	1022
418	735	1019
419	736	1016
420	737	1013
421	738	1011
422	739	1008
423	740	1006
424	741	1003
425	743	1001
426	744	998
427	745	996
428	746	993
429	747	991
430	749	988
431	750	986
432	751	983
433	752	980
434	753	978
435	754	975
436	756	974
437	757	971
438	759	970
439	760	967
440	761	965
441	762	962
442	763	959
443	764	957
444	765	954
445	766	952
446	767	949
447	769	947
448	770	945
449	771	942
450	772	940
451	773	938
452	775	936
453	776	934
454	777	931
455	779	929
456	780	927
457	782	926
458	784	924
459	785	921
460	786	919
461	787	917
462	789	915
463	790	913
464	791	910
465	792	908
466	793	905
467	794	902
468	796	901
469	797	899
470	798	896
471	799	894
472	800	891
473	801	889
474	803	888
475	805	886
476	806	884
477	807	882
478	808	879
479	809	877
480	811	875
481	812	873
482	813	870
483	814	867
484	815	865
485	816	863
486	818	861
487	819	859
488	820	857
489	821	855
490	823	853
491	824	851
492	825	848
493	826	846
494	827	844
495	828	841
496	829	839
497	831	838
498	833	837
499	834	834
500	835	832
501	836	830
502	837	827
503	839	825
504	840	823
505	841	821
506	842	819
507	843	816
508	844	814
509	846	812
510	848	812
511	850	810
512	851	808
513	852	806
514	854	804
515	855	802
516	856	800
517	858	798
518	861	798
519	863	796
520	865	795
521	867	793
522	868	792
523	869	789
524	870	787
525	871	785
526	872	783
527	874	781
528	876	780
529	877	778
530	879	776
531	881	775
532	882	773
533	886	773
534	887	771
535	890	770
536	891	768
537	893	767
538	894	765
539	896	763
540	897	761
541	898	759
542	899	757
543	900	754
544	901	752
545	902	750
546	903	748
547	905	746
548	906	744
549	907	742
550	909	740
551	910	738
552	911	736
553	912	734
554	913	732
555	914	730
556	915	727
557	916	726
558	918	724
559	919	722
560	920	720
561	921	718
562	923	716
563	924	714
564	925	712
565	926	710
566	927	708
567	928	706
568	929	703
569	930	701
570	931	699
571	933	698
572	934	696
573	935	694
574	936	692
575	937	690
576	938	688
577	939	686
578	940	684
579	942	682
580	943	680
581	945	678
582	946	676
583	948	675
584	949	673
585	950	671
586	951	669
587	952	667
588	953	665
589	954	663
590	955	661
591	956	659
592	957	657
593	958	655
594	960	653
595	961	652
596	963	650
597	964	648
598	965	646
599	967	644
600	968	643
601	970	641
602	971	639
603	972	637
604	977	638
605	979	636
606	981	635
607	982	633
608	983	631
609	985	629
610	986	628
611	987	626
612	990	625
613	991	623
614	993	621
615	994	619
616	995	617
617	996	616
618	998	614
619	999	612
620	1000	610
621	1002	609
622	1004	607
623	1006	606
624	1008	604
625	1009	603
626	1011	601
627	1012	599
628	1014	598
629	1015	596
630	1019	596
631	1043	607
632	1045	605
633	1054	608
634	1055	606
635	1058	605
636	1060	604
637	1062	602
638	1071	605
639	1073	604
640	1075	602
641	1076	600
642	1077	598
643	1081	598
644	1083	596
645	1085	594
646	1086	592
647	1088	591
648	1090	589
649	1091	587
650	1092	585
651	1096	585
652	1101	585
653	1104	584
654	1106	582
655	1108	581
656	1114	581
657	1115	579
658	1117	578
659	1119	576
660	1121	575
661	1123	573
662	1125	572
663	1127	570
664	1131	569
665	1133	568
666	1134	566
667	1137	565
668	1140	564
669	1142	562
670	1143	560
671	1145	559
672	1147	557
673	1149	556
674	1151	554
675	1153	552
676	1156	551
677	1157	549
678	1158	547
679	1161	546
680	1162	544
681	1164	542
682	1165	540
683	1167	539
684	1170	538
685	1171	536
686	1173	534
687	1174	532
688	1176	530
689	1177	529
690	1179	527
691	1180	525
692	1181	523
693	1184	522
694	1186	520
695	1187	518
696	1190	517
697	1191	515
698	1193	513
699	1194	511
700	1196	510
701	1198	508
702	1200	507
703	1201	505
704	1203	503
705	1204	501
706	1205	499
707	1206	497
708	1208	495
709	1209	493
710	1210	491
711	1211	489
712	1212	488
713	1213	486
714	1214	484
715	1215	482
716	1216	480
717	1217	478
718	1218	476
719	1220	474
720	1221	472
721	1222	470
722	1224	469
723	1225	467
724	1227	465
725	1230	464
726	1232	462
727	1233	460
728	1234	459
729	1236	457
730	1237	455
731	1238	453
732	1239	451
733	1242	450
734	1244	448
735	1245	446
736	1247	445
737	1249	443
738	1252	442
739	1254	440
740	1255	438
741	1258	437
742	1259	435
743	1260	433
744	1262	432
745	1263	430
746	1265	428
747	1267	426
748	1268	425
749	1270	423
750	1272	421
751	1273	419
752	1274	418
753	1275	416
754	1277	414
755	1278	412
756	1279	410
757	1280	408
758	1281	406
759	1283	405
760	1284	403
761	1285	401
762	1287	399
763	1288	398
764	1290	396
765	1292	394
766	1293	392
767	1294	391
768	1295	389
769	1297	387
770	1298	385
771	1299	383
772	1300	382
773	1302	380
774	1303	378
775	1305	376
776	1306	374
777	1307	373
778	1308	371
779	1309	369
780	1310	367
781	1311	365
782	1313	363
783	1314	362
784	1316	360
785	1317	358
786	1318	356
787	1321	355
788	1322	353
789	1324	351
790	1326	350
791	1328	348
792	1330	347
793	1332	345
794	1333	343
795	1334	342
796	1335	340
797	1337	338
798	1338	336
799	1340	335
800	1341	333
801	1342	331
802	1343	329
803	1344	327
804	1345	326
805	1347	324
806	1349	322
807	1350	320
808	1351	319
809	1352	317
810	1353	315
811	1354	313
812	1356	311
813	1359	310
814	1360	308
815	1362	307
816	1363	305
817	1364	303
818	1366	301
819	1367	300
820	1368	298
821	1369	296
822	1370	294
823	1372	293
824	1374	291
825	1375	289
826	1377	288
827	1378	286
828	1380	284
829	1382	283
830	1383	281
831	1384	279
832	1387	278
833	1388	276
834	1390	274
835	1391	272
836	1392	271
837	1393	269
838	1395	267
839	1396	265
840	1397	264
841	1398	262
842	1400	260
843	1401	259
844	1402	257
845	1403	255
846	1405	253
847	1407	252
848	1408	250
849	1409	248
850	1410	246
851	1411	245
852	1413	243
853	1414	241
854	1416	240
855	1417	238
856	1418	236
857	1419	235
858	1421	233
859	1422	231
860	1423	229
861	1424	228
862	1426	226
863	1427	224
864	1429	223
865	1431	221
866	1432	219
867	1433	217
868	1434	216
869	1435	214
870	1436	212
871	1437	211
872	1438	209
873	1440	207
874	1441	205
875	1442	204
876	1443	202
877	1444	200
